Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2023-03-31,207.4600067138672,207.7899932861328,197.1999969482422,197.52999877929688,170222100
2023-04-03,194.77000427246094,202.69000244140625,192.1999969482422,199.91000366210938,169545900
2023-04-04,192.5800018310547,198.74000549316406,190.32000732421875,197.32000732421875,126463800
2023-04-05,185.52000427246094,190.67999267578125,183.75999450683594,190.52000427246094,133882500
2023-04-06,185.05999755859375,186.38999938964844,179.74000549316406,183.0800018310547,123857900
2023-04-10,184.50999450683594,185.10000610351562,176.11000061035156,179.94000244140625,142154600
2023-04-11,186.7899932861328,189.19000244140625,185.64999389648438,186.69000244140625,115770900
2023-04-12,180.5399932861328,191.5800018310547,180.30999755859375,190.74000549316406,150256300
2023-04-13,185.89999389648438,186.5,180.94000244140625,182.9600067138672,112933000
2023-04-14,185.0,186.27999877929688,182.00999450683594,183.9499969482422,96438700
2023-04-17,187.0399932861328,189.69000244140625,182.69000244140625,186.32000732421875,116662200
2023-04-18,184.30999755859375,187.69000244140625,183.5800018310547,187.14999389648438,92067000
2023-04-19,180.58999633789062,183.5,177.64999389648438,179.10000610351562,125732700
2023-04-20,162.99000549316406,169.6999969482422,160.55999755859375,166.1699981689453,210970800
2023-04-21,165.0800018310547,166.0,161.32000732421875,164.8000030517578,123539000
2023-04-24,162.5500030517578,165.64999389648438,158.61000061035156,164.64999389648438,140006600
2023-04-25,160.6699981689453,163.47000122070312,158.75,159.82000732421875,121999300
2023-04-26,153.75,160.6699981689453,153.13999938964844,160.2899932861328,153364100
2023-04-27,160.19000244140625,160.47999572753906,152.3699951171875,152.63999938964844,127015200
2023-04-28,164.30999755859375,165.0,157.32000732421875,160.89999389648438,122515800
